"name","V_1","V_2","V_3","V_4","V_5","V_6","V_7","slide_new_ind","new_ind","new_sub_indiv"
"ZF6010-Globigerina-pachyderma-square18_obj00006_plane000.jpg","ZF6010","Globigerina","pachyderma","square18","obj00006","plane000","jpg","ZF6010-square18","18","6"
"ZF6010-Globigerina-pachyderma-square2_obj00001_plane000.jpg","ZF6010","Globigerina","pachyderma","square2","obj00001","plane000","jpg","ZF6010-square2","2","1"
"ZF6010-Globigerina-pachyderma-square2_obj00002_plane000.jpg","ZF6010","Globigerina","pachyderma","square2","obj00002","plane000","jpg","ZF6010-square2","2","2"
"ZF6010-Globigerina-pachyderma-square2_obj00004_plane000.jpg","ZF6010","Globigerina","pachyderma","square2","obj00004","plane000","jpg","ZF6010-square2","2","3"
"ZF6010-Globigerina-pachyderma-square2_obj00005_plane000.jpg","ZF6010","Globigerina","pachyderma","square2","obj00005","plane000","jpg","ZF6010-square2","2","4"
"ZF6010-Globigerina-pachyderma-square2_obj00006_plane000.jpg","ZF6010","Globigerina","pachyderma","square2","obj00006","plane000","jpg","ZF6010-square2","2","5"
"ZF6010-Globigerina-pachyderma-square3_obj00001_plane000.jpg","ZF6010","Globigerina","pachyderma","square3","obj00001","plane000","jpg","ZF6010-square3","3","1"
"ZF6010-Globigerina-pachyderma-square3_obj00002_plane000.jpg","ZF6010","Globigerina","pachyderma","square3","obj00002","plane000","jpg","ZF6010-square3","3","2"
"ZF6010-Globigerina-pachyderma-square3_obj00003_plane000.jpg","ZF6010","Globigerina","pachyderma","square3","obj00003","plane000","jpg","ZF6010-square3","3","3"
"ZF6010-Globigerina-pachyderma-square3_obj00004_plane000.jpg","ZF6010","Globigerina","pachyderma","square3","obj00004","plane000","jpg","ZF6010-square3","3","4"
"ZF6010-Globigerina-pachyderma-square3_obj00005_plane000.jpg","ZF6010","Globigerina","pachyderma","square3","obj00005","plane000","jpg","ZF6010-square3","3","5"
"ZF6010-Globigerina-pachyderma-square3_obj00006_plane000.jpg","ZF6010","Globigerina","pachyderma","square3","obj00006","plane000","jpg","ZF6010-square3","3","6"
"ZF6010-Globigerina-pachyderma-square3_obj00007_plane000.jpg","ZF6010","Globigerina","pachyderma","square3","obj00007","plane000","jpg","ZF6010-square3","3","7"
"ZF6010-Globigerina-pachyderma-square3_obj00008_plane000.jpg","ZF6010","Globigerina","pachyderma","square3","obj00008","plane000","jpg","ZF6010-square3","3","8"
"ZF6010-Globigerina-pachyderma-square4_obj00001_plane000.jpg","ZF6010","Globigerina","pachyderma","square4","obj00001","plane000","jpg","ZF6010-square4","4","1"
"ZF6010-Globigerina-pachyderma-square4_obj00002_plane000.jpg","ZF6010","Globigerina","pachyderma","square4","obj00002","plane000","jpg","ZF6010-square4","4","2"
"ZF6010-Globigerina-pachyderma-square4_obj00003_plane000.jpg","ZF6010","Globigerina","pachyderma","square4","obj00003","plane000","jpg","ZF6010-square4","4","3"
"ZF6010-Globigerina-pachyderma-square4_obj00004_plane000.jpg","ZF6010","Globigerina","pachyderma","square4","obj00004","plane000","jpg","ZF6010-square4","4","4"
