,obj,marina,anieke
758,ZF5771-Globorotalia-menardii_obj00053_plane000.jpg,change,correct
786,ZF5772-Globorotalia-menardii_obj00001_plane000.jpg,change,correct
787,ZF5772-Globorotalia-menardii_obj00002_plane000.jpg,correct,change
792,ZF5772-Globorotalia-menardii_obj00007_plane000.jpg,remove,change
795,ZF5772-Globorotalia-menardii_obj00010_plane000.jpg,correct,change
796,ZF5772-Globorotalia-menardii_obj00011_plane000.jpg,remove,change
797,ZF5772-Globorotalia-menardii_obj00012_plane000.jpg,remove,change
798,ZF5772-Globorotalia-menardii_obj00013_plane000.jpg,remove,change
799,ZF5772-Globorotalia-menardii_obj00014_plane000.jpg,correct,change
807,ZF5772-Globorotalia-menardii_obj00022_plane000.jpg,remove,correct
817,ZF5772-Globorotalia-menardii_obj00032_plane000.jpg,remove,correct
828,ZF5772-Globorotalia-menardii_obj00043_plane000.jpg,remove,correct
833,ZF5772-Globorotalia-menardii_obj00048_plane000.jpg,remove,correct
868,ZF5772-Globorotalia-menardii_obj00083_plane000.jpg,remove,change
876,ZF5776-Globorotalia-menardii_obj00008_plane000.jpg,remove,correct
921,ZF5776-Globorotalia-menardii_obj00053_plane000.jpg,remove,correct
940,ZF5777-Globorotalia-menardii_obj00012_plane000.jpg,correct,change
953,ZF5778-Globorotalia-menardii_obj00010_plane000.jpg,correct,change
973,ZF5779-Globorotalia-menardii_obj00012_plane000.jpg,remove,correct
979,ZF5780-Globorotalia-menardii_obj00005_plane000.jpg,remove,correct
1041,ZF5784-Globorotalia-menardii_obj00004_plane000.jpg,remove,correct
1044,ZF5784-Globorotalia-menardii_obj00007_plane000.jpg,remove,correct
1049,ZF5784-Globorotalia-menardii_obj00012_plane000.jpg,remove,correct
1066,ZF5784-Globorotalia-menardii_obj00029_plane000.jpg,correct,change
1072,ZF5785-Globorotalia-menardii_obj00002_plane000.jpg,remove,correct
1091,ZF5785-Globorotalia-menardii_obj00021_plane000.jpg,remove,correct
1113,ZF5786-Globorotalia-menardii_obj00008_plane000.jpg,remove,correct
1114,ZF5786-Globorotalia-menardii_obj00009_plane000.jpg,remove,correct
1116,ZF5786-Globorotalia-menardii_obj00011_plane000.jpg,remove,correct
1126,ZF5788-Globorotalia-menardii_obj00002_plane000.jpg,correct,change
1133,ZF5788-Globorotalia-menardii_obj00009_plane000.jpg,correct,change
1135,ZF5788-Globorotalia-menardii_obj00011_plane000.jpg,correct,change
1136,ZF5788-Globorotalia-menardii_obj00012_plane000.jpg,remove,correct
1149,ZF5790-Globorotalia-tumida_obj00001_plane000.jpg,remove,correct
1150,ZF5790-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1155,ZF5791-Globorotalia-tumida_obj00001_plane000.jpg,remove,correct
1156,ZF5791-Globorotalia-tumida_obj00002_plane000.jpg,remove,change
1157,ZF5791-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1161,ZF5791-Globorotalia-tumida_obj00007_plane000.jpg,remove,change
1162,ZF5791-Globorotalia-tumida_obj00008_plane000.jpg,change,correct
1167,ZF5792-Globorotalia-tumida_obj00005_plane000.jpg,change,correct
1168,ZF5792-Globorotalia-tumida_obj00006_plane000.jpg,change,correct
1172,ZF5793-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1175,ZF5793-Globorotalia-tumida_obj00005_plane000.jpg,change,correct
1176,ZF5793-Globorotalia-tumida_obj00006_plane000.jpg,change,correct
1177,ZF5793-Globorotalia-tumida_obj00007_plane000.jpg,remove,correct
1178,ZF5793-Globorotalia-tumida_obj00008_plane000.jpg,change,correct
1179,ZF5793-Globorotalia-tumida_obj00009_plane000.jpg,remove,correct
1181,ZF5793-Globorotalia-tumida_obj00011_plane000.jpg,change,correct
1183,ZF5793-Globorotalia-tumida_obj00013_plane000.jpg,change,correct
1184,ZF5794-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1185,ZF5794-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1187,ZF5794-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1194,ZF5794-Globorotalia-tumida_obj00011_plane000.jpg,change,correct
1196,ZF5794-Globorotalia-tumida_obj00013_plane000.jpg,change,correct
1197,ZF5794-Globorotalia-tumida_obj00014_plane000.jpg,change,correct
1198,ZF5794-Globorotalia-tumida_obj00015_plane000.jpg,change,correct
1201,ZF5797-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1203,ZF5797-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1205,ZF5798-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1206,ZF5798-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1207,ZF5798-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1208,ZF5798-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1210,ZF5798-Globorotalia-tumida_obj00006_plane000.jpg,remove,correct
1213,ZF5798-Globorotalia-tumida_obj00009_plane000.jpg,change,correct
1219,ZF5799-Globorotalia-tumida_obj00006_plane000.jpg,change,correct
1221,ZF5799-Globorotalia-tumida_obj00008_plane000.jpg,change,correct
1222,ZF5799-Globorotalia-tumida_obj00009_plane000.jpg,remove,correct
1226,ZF5800-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1229,ZF5800-Globorotalia-tumida_obj00007_plane000.jpg,change,correct
1231,ZF5800-Globorotalia-tumida_obj00009_plane000.jpg,change,correct
1234,ZF5802-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1235,ZF5802-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1237,ZF5802-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1238,ZF5802-Globorotalia-tumida_obj00005_plane000.jpg,change,correct
1239,ZF5802-Globorotalia-tumida_obj00006_plane000.jpg,change,correct
1240,ZF5802-Globorotalia-tumida_obj00007_plane000.jpg,change,correct
